Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,10,196710,30,180,750680,591185,11
2,10,289155,20,380,593355,1946780,12
1,5,352050,10,385,450945,3058740,12
1,6,257358,54,474,459126,3826188,15
2,12,267162,48,126,576414,5053338,15
3,29,288646,58,744,1363744,1540286,5
3,27,199557,36,135,1134513,6132780,10
2,19,365769,57,95,1118482,4052415,4
2,8,106684,32,64,280888,806800,11
2,18,190980,27,504,800379,2724120,3
3,35,531778,105,455,999763,9032310,10
3,40,667266,13,93,2113466,1542933,3
3,34,403285,68,147,2049656,6694645,8
3,29,480955,96,522,1586812,3724054,1
2,21,242046,21,987,1516588,4813053,1
1,3,178026,9,129,272307,666669,2
2,11,215182,55,550,957368,1297285,15
2,23,652383,115,57,1937865,6148693,8
2,15,315007,15,442,837592,3772222,13
3,27,540720,45,144,1459863,4614183,2
2,20,489570,30,630,1521920,5732390,5
3,40,344826,40,53,2433706,1327426,15
2,12,379002,30,204,599808,2605692,14
3,36,891684,24,48,816816,4655196,4
1,6,246126,18,186,776244,583728,14
3,31,629847,93,888,1327595,9978672,3
2,19,527193,76,693,1743658,4651551,1
3,40,507600,133,1226,1478626,4843706,11
3,29,196378,77,580,1737583,4780427,4
2,23,301185,80,782,2240694,3018600,13
3,39,514423,130,26,1348919,5355896,9
3,40,718626,26,266,1080560,5675946,4
3,36,655200,96,1020,1598724,2047356,9
1,5,282545,10,65,910360,3984510,9
3,36,360192,108,996,2117952,1938564,5
1,4,254280,24,392,463668,1832528,15
2,22,441628,88,55,1839464,3358333,7
1,5,133730,20,465,777750,2077150,1
2,22,538934,55,33,1229426,1827562,1
2,12,248148,60,198,691596,5697750,13
2,15,533932,67,390,1438552,5616390,5
2,9,312327,22,126,622854,3087310,2
2,11,324511,16,137,828239,3313711,4
2,18,390618,63,513,1197297,1359846,9
3,37,775594,24,468,938024,3611138,7
3,38,767688,38,1165,2054660,11532480,11
3,26,412698,60,225,926943,8047459,13
2,16,577576,48,520,1422552,560168,8
3,32,330090,32,565,1622560,3228010,12
2,16,593736,56,376,1473072,7997800,5
2,17,471478,68,501,1289416,6921558,1
2,9,304474,40,112,850860,1788790,1
2,20,316410,70,840,1332720,3486190,3
1,1,29696,10,24,63916,941125,13
2,20,538080,40,240,729260,4173150,9
1,5,247810,30,450,885860,1701920,8
1,2,142966,12,200,326218,1669956,7
3,35,238163,93,1050,1192776,3708716,5
3,35,709123,11,991,2207380,9937188,8
2,18,250425,18,27,1396791,5649975,9
3,29,222410,87,464,1578093,2160616,11
3,30,375240,80,600,1061840,1584280,5
3,25,422758,66,91,946558,2971566,14
2,7,106050,14,129,311031,2732051,14
3,35,804463,23,408,2287810,6773386,14
3,38,773730,101,836,2407325,11540866,7
1,4,142016,20,140,270476,3977708,4
2,20,320480,50,230,978560,1397320,13
3,33,561363,88,473,1004718,8552148,10
3,37,347874,24,888,957214,1165019,15
1,3,68847,9,276,517302,258288,5
2,19,491720,95,541,1799281,9107526,8
2,12,249192,60,84,913572,1382766,5
3,32,671701,32,949,1172490,982688,4
2,9,180409,36,198,656676,2888032,7
2,14,348075,7,287,1254162,6478689,10
3,25,316408,25,8,1435933,2391708,3
2,19,208743,28,275,607525,8839636,5
1,2,101886,16,28,122244,1651746,9
3,33,278916,33,429,1708190,7062495,14
3,39,378066,65,1183,1683136,10723622,1
3,36,792216,108,372,929892,7033440,8
3,25,419791,83,133,449375,7515991,1
2,19,459999,85,313,715378,5398859,15
3,31,617396,41,113,891353,2472921,10
3,29,724932,19,377,1572873,7642940,9
1,3,163908,15,171,312324,784872,1
2,24,518352,120,12,1984248,1496172,13
1,6,276624,24,516,650664,5841942,11
2,22,479193,44,396,693605,2699675,1
2,7,202485,3,322,497546,832800,7
2,9,256770,40,45,420358,3972240,15
1,2,44664,12,30,278534,1563542,3
1,2,68518,12,158,111092,862372,13
2,13,472283,32,585,1220388,5629487,10
2,20,531760,40,250,959190,5477790,4
2,23,780758,92,1058,1259526,10172325,3
3,36,665376,108,444,1658916,5675292,12
3,36,702168,84,504,2130864,11457780,10
3,36,552216,24,84,764928,1798860,2
2,15,533032,45,337,1240140,6074460,1
2,23,560590,103,782,1302432,10602103,4
2,18,215631,18,9,1438137,1435401,4
3,38,748866,126,1000,1705452,8580514,8
2,13,460252,39,195,365761,884682,2
3,30,563550,30,720,1286310,9397890,3
3,27,639972,90,522,1413513,637398,15
3,34,684737,79,770,895254,2853008,5
3,27,643842,18,18,648810,8407242,1
2,11,259369,44,27,724179,2924542,5
1,6,285258,42,288,982944,2751966,13
3,27,471879,9,828,1738782,2370636,15
3,38,589278,114,937,1011357,5195702,6
2,22,637703,11,792,1466916,2486627,14
3,34,777727,79,1122,1965426,4730442,13
2,20,538870,90,620,628370,4407830,3
1,3,132309,15,123,201558,271557,13
3,37,248319,37,925,1312427,9736957,1
2,9,326389,13,103,358299,3272251,12
1,5,373920,40,300,973610,2146780,8
2,12,218256,12,276,562746,4265622,1
2,12,181590,54,300,921714,5827626,3
3,28,439077,37,494,710733,5586084,7
2,17,367888,17,739,463131,3276325,5
2,17,253461,8,705,1237430,8494730,12
2,17,512652,42,25,1475889,2281485,1
1,6,257544,42,438,646434,5468724,7
2,24,863148,72,1068,768792,1954776,6
2,22,762322,44,968,1515855,4141588,15
1,4,165708,12,396,357192,603160,11
3,27,211779,9,207,1375398,954225,10
3,36,574704,108,612,1013940,11012388,6
1,1,70397,6,60,51418,578814,2
2,12,425310,24,114,646590,3432666,12
1,4,273856,12,224,247608,403684,3
2,8,217280,36,312,448908,1248284,13
2,14,518007,7,588,649873,2503683,11
1,2,146630,10,50,354820,158670,14
3,37,723732,61,789,1085654,1725445,1
2,10,320465,50,435,617210,1723395,8
2,20,701370,50,220,1473130,7920380,9
2,24,320148,60,264,1793400,1837080,3
2,14,191856,56,588,592382,2947189,14
3,31,421786,82,444,1013162,5738348,12
2,7,98073,35,269,364332,2839459,12
2,13,274384,39,331,404943,4852146,10
3,33,298584,110,990,995126,4479860,11
2,10,259740,40,210,644420,3004755,7
3,32,708565,21,245,864234,3008608,5
3,31,700682,62,537,989540,5085581,5
2,11,284592,27,401,342034,3895248,3
3,37,623795,98,1023,759967,7796886,10
3,35,449808,93,676,1073345,11374766,2
3,29,629039,19,647,1252722,6632996,9
3,29,415028,29,831,1853593,3776264,14
1,5,248175,30,300,814405,1273275,6
3,33,584727,44,429,732787,7335713,6
3,35,545965,11,455,2251550,7357046,9
2,7,97615,7,52,610463,1955411,6
1,4,190660,16,316,537688,2920400,13
3,40,303453,133,640,2617253,9892080,2
3,27,214290,63,630,878778,2403693,9
3,27,514827,36,765,1637154,3256128,13
3,29,651543,38,435,771342,2843508,13
2,9,328212,36,139,484146,1218699,7
3,37,415337,37,1159,717504,11845451,4
2,15,405345,7,315,931410,2090520,1
3,34,420194,45,34,2006317,5934518,10
2,14,148239,35,392,611898,4038083,5
1,5,313565,50,210,674320,326775,14
2,19,352649,47,636,1003950,9199439,5
3,31,625022,93,816,2029198,5134385,8
2,11,169746,16,264,1069018,1330527,8
3,34,630688,102,725,1808335,7776978,6
3,26,380986,52,147,1413620,3308387,1
2,11,125735,16,198,847830,3532100,11
3,33,372801,22,121,1239568,3444474,3
2,23,399947,80,161,1424424,8346734,8
3,25,612116,25,100,1425591,4074066,3
2,9,298755,4,238,733621,2154843,11
2,19,616151,28,313,931437,4018823,9
3,31,225163,41,20,564427,6667407,15
2,11,177567,5,5,740795,412852,9
1,2,125894,12,190,152144,1412346,7
3,36,616308,48,360,1266636,10323720,9
2,14,305046,28,350,964936,1396164,13
3,31,212711,20,878,1630021,5469567,6
3,38,671852,25,38,2398598,4696331,13
2,20,255280,100,560,740070,9732170,14
2,14,503181,70,182,455182,3461850,7
2,22,463837,88,495,2049707,1719861,9
3,32,352682,96,917,666560,2765962,13
1,4,205368,24,400,352880,2789616,11
3,28,239306,37,74,469924,7294877,4
2,7,109025,3,38,409860,2140285,3
2,15,188100,45,337,1079595,1571392,14
3,33,258269,22,671,1863114,1919412,10
2,11,199270,16,38,879780,4152549,8
2,16,415392,32,696,1278192,5004216,15
2,12,393714,24,408,896502,663324,1
3,40,980693,66,440,1384480,6135520,7
3,25,545425,75,766,629216,1599391,12
2,17,358725,34,850,744727,2703068,5
2,20,511000,20,70,1993960,4528490,9
2,16,447008,72,168,1227192,1319208,1
1,3,63894,12,99,442485,601479,3
2,11,330302,11,401,922509,3051053,2
3,39,351208,117,169,1346384,3542422,6
2,11,145299,27,181,1020651,3737717,11
2,23,552862,115,1092,1019785,1506304,1
2,12,433578,30,234,377250,5026026,3
2,17,379933,8,348,1502536,6502831,7
2,11,219191,49,429,916432,4979139,8
2,7,224311,7,336,554837,2252201,1
2,20,395220,10,180,1272150,2645640,10
2,9,244966,31,315,269518,930127,3
1,6,246960,6,480,597534,4831014,11
2,23,841535,57,230,2045965,5690361,14
2,11,378323,44,159,735306,1206089,6
2,23,535911,11,644,1845543,4948300,14
2,9,193626,9,328,533367,3102408,10
1,6,283572,6,570,512082,5288124,1
3,30,346350,100,810,1215060,4184360,13
3,28,448560,56,457,772072,5193888,4
3,27,408159,54,567,1686978,7541217,10
2,7,121961,14,17,641763,2131213,12
2,23,235704,46,414,868917,10633222,11
2,18,317979,9,270,1507545,2197971,10
3,32,380480,53,320,925194,6298069,2
3,35,764773,116,665,798221,4686430,4
2,12,185040,60,84,1140330,3591288,4
1,3,155019,27,264,488946,1887795,5
2,16,583008,8,224,1060888,7754536,6
2,22,370304,44,693,1971453,1416096,9
3,33,658449,22,99,800536,6721341,13
3,32,323754,74,64,855893,9098549,6
3,30,582380,100,430,1799150,6889800,15
2,15,481867,45,292,451200,5308342,2
2,15,444375,67,637,434497,5352420,1
2,19,553565,85,95,1170656,9490880,7
3,34,621055,79,249,812067,2806609,10
3,31,657675,41,51,971312,9408923,8
2,19,301131,28,703,832057,9435951,12
3,32,753802,42,885,779072,7042805,2
2,17,577184,59,807,1414502,6716997,5
2,20,646580,10,110,993540,9674540,2
2,9,155340,4,216,663799,4016056,9
2,15,452182,15,427,1241280,7300860,3
2,15,495105,67,412,1106722,4239667,14
2,9,188635,36,27,232681,2887659,10
3,29,689378,29,763,1380380,6443394,11
3,31,771610,10,806,1380574,5493799,8
2,9,150313,40,40,405342,1097725,5
1,2,44170,18,76,126980,1148688,9
2,18,385659,63,513,1739538,7070589,4
3,31,389566,103,485,1738573,1007035,10
1,6,417396,42,156,736494,2303838,12
2,21,405678,94,966,805444,1190143,10
3,31,227023,31,82,1590920,8919165,13
3,34,365137,56,997,2181893,4954162,1
2,23,530518,46,448,2000563,1999654,13
3,31,771900,62,165,781758,5781841,4
2,23,818880,46,195,733550,9315736,9
3,27,458829,9,747,1641132,5663826,11
1,3,112593,3,225,515244,2067390,3
2,19,262352,95,237,1247046,8058688,7
2,23,418370,23,1023,2158159,9480220,15
3,30,228520,10,460,537650,2477240,6
2,15,274867,67,532,1078635,1115797,8
2,19,200203,9,769,565744,6698507,7
2,19,681900,76,532,1827942,1740590,7
1,5,196875,20,455,622045,2990535,4
2,13,263958,58,390,393874,5726220,10
2,21,637959,73,535,1422015,8256517,2
2,12,248490,6,534,985524,4507446,6
2,8,144612,20,104,779188,3725360,9
3,35,686385,46,373,957880,11142530,13
3,34,735420,113,430,1960836,3598866,12
3,30,226200,10,270,1542940,8743500,12
2,22,823834,77,1012,2095104,10183712,15
3,35,725013,58,396,1001781,6256040,6
3,36,895932,24,1116,916452,7078056,12
3,34,458626,113,997,636536,9849970,7
2,10,305940,45,205,494520,885065,1
3,36,754464,72,1176,1642428,2260596,12
1,3,98667,9,261,515526,2883816,6
3,29,206141,9,754,1111038,2625341,1
3,38,865184,126,1241,1775740,11793072,15
3,36,461760,96,192,2252460,9266880,6
3,31,263479,10,289,1463954,6533828,4
3,33,482537,77,770,566588,8634637,8
2,17,256538,59,561,539580,8251842,10
3,34,412102,102,782,1611486,3703280,15
2,21,229824,105,567,1325982,3178822,14
3,35,873215,81,875,1636740,5498721,10
3,26,647478,86,702,525018,4570496,15
1,1,49809,1,75,51170,350802,11
3,33,449845,110,154,978373,5434341,6
2,24,671028,36,264,1469856,6532548,13
3,30,521070,60,550,1081970,8880570,15
2,13,484802,58,617,610727,1957559,10
3,35,306226,105,128,1367846,11124493,2
3,25,540466,75,316,1469725,5376966,6
2,21,509460,42,588,1373526,4043298,10
2,21,331516,73,315,1653834,8595058,11
2,14,477386,42,280,621439,1023561,9
3,31,564117,10,237,1312767,9702111,2
3,31,753765,62,289,971044,4143460,6
2,8,133828,20,400,230544,2982628,1
3,35,603236,11,46,1438978,10041768,1
2,14,378434,42,644,394646,6035946,4
1,2,146696,6,38,313000,379962,10
2,8,287104,16,48,447248,3554580,15
3,26,483842,34,814,999769,4279530,8
3,39,853697,130,663,1594333,12558871,1
3,25,396383,8,83,1520625,3941275,13
3,33,263989,33,990,955823,844140,2
1,1,52255,5,68,148874,76217,11
3,28,212753,74,793,1181889,8412721,7
3,39,702390,117,1300,2318368,9624810,11
2,14,250859,70,91,695058,1784027,9
2,17,383528,42,110,1337662,3436363,12
2,11,299524,55,412,657046,855024,8
2,15,232552,15,90,1435342,1317570,1
2,16,352056,64,712,1191024,2745224,1
3,26,397843,69,606,1459848,6488438,13
1,3,69780,12,162,248910,2090970,11
2,16,298248,8,456,1571072,3204872,11
2,22,485771,110,99,1383030,8101786,4
3,26,386802,34,208,912322,978501,1
2,24,677808,36,804,2211360,11705016,12
3,28,614796,37,672,782180,1544946,15
1,4,189568,24,36,585660,3706600,4
1,4,166708,28,168,438144,2932124,2
2,8,176076,12,20,544176,1373096,9
3,29,630595,58,918,942374,3890698,13
3,29,635573,9,241,1511973,6691508,5
2,8,89564,32,360,338824,3657416,6
3,35,696056,70,525,1960653,4744355,4
3,30,358840,90,200,1749800,4470760,6
2,8,282532,36,148,365596,3482208,12
1,6,425190,42,594,436140,4607022,10
3,29,661944,19,580,1791098,780351,7
3,34,845194,113,136,1011341,2498127,5
2,23,770546,23,690,1177887,1192274,13
3,33,452936,33,77,1313576,8886273,1
2,14,409143,49,35,1336657,5542600,3
3,26,222369,52,693,984663,3616773,3
3,40,311586,66,293,1633000,10747880,7
2,16,575416,24,464,1160560,5500224,2
2,14,360990,7,98,445193,6529418,13
2,12,373338,48,114,570558,5907330,5
2,9,235422,9,162,604606,3858192,5
3,33,280621,11,561,1322739,7170669,1
2,23,652602,11,747,1404035,9116544,8
2,13,306774,32,409,1198626,1305577,4
1,6,382086,60,582,451446,4833162,15
1,4,102124,32,24,326904,2433520,1
3,29,642504,96,154,1506965,1269765,12
3,30,668340,10,60,978840,7772990,15
2,15,476212,52,570,1217032,887355,3
3,25,233133,75,308,843200,1815308,9
2,14,319767,63,112,1261869,3543771,12
2,14,255409,56,616,481684,1342285,6
3,27,579663,9,486,1028835,1747260,13
2,20,473690,90,120,637450,2025730,13
1,2,59060,18,166,362034,1645170,1
1,6,258600,42,378,1144170,2513424,4
3,33,447007,88,660,1981232,9965901,9
2,22,492118,11,374,1374780,1717947,7
3,29,304548,58,241,779239,1850325,1
2,13,399132,32,611,1219712,3356879,13
2,19,588354,57,788,1737531,4589317,11
1,1,58513,2,5,182828,834734,12
3,39,882960,117,624,2119715,8428290,7
3,27,304119,81,855,1308942,4715082,9
3,38,847830,126,886,1931831,1618559,6
2,8,85332,32,272,529088,3116268,4
2,13,167583,52,637,421278,3337087,6
1,3,147510,30,105,250917,2355627,9
2,19,547475,57,788,888953,4805470,8
2,19,664401,9,893,1118121,7762839,6
2,9,167850,36,396,511128,451552,9
2,11,207289,49,220,988152,5401126,15
3,28,464380,65,560,1583045,7598770,6
1,3,110418,21,111,241512,2184873,3
3,25,373516,66,66,913125,4505925,14
2,8,177368,12,256,352404,3607216,12
2,20,319630,10,870,901490,5071070,2
2,9,191268,45,58,372762,3938584,15
3,33,587202,99,440,1745612,9518542,8
3,27,331623,18,648,599499,6923790,11
2,21,496429,31,924,622629,7875945,11
3,38,499928,12,646,1951794,5131684,10
2,16,408384,80,328,1391624,5432840,10
1,4,229596,32,144,255864,402952,11
2,13,295854,26,130,886229,3559523,8
2,17,496170,34,272,1318647,7410682,12
1,1,44222,7,28,135471,864122,15
3,31,766278,62,940,1021925,3939893,10
1,5,293095,10,160,348740,3393850,10
3,30,399680,50,520,844980,4573480,12
3,28,559300,46,653,1353464,5508505,15
3,36,609564,60,1128,1314660,2623872,5
2,24,857664,84,576,1047648,8586384,1
3,34,390898,90,408,2177915,10176982,13
2,9,322942,36,207,790272,3795669,15
2,13,142252,58,318,675941,1303588,13
2,23,763243,80,391,1089832,2828298,8
2,14,374332,56,518,1020495,4883606,3
2,13,132372,39,266,771192,2441127,4
1,6,370266,36,42,612042,4670724,9
3,26,640761,34,702,928954,3289277,15
3,32,348053,85,245,753941,9756992,5
2,7,236281,14,171,425848,1078756,10
3,35,360115,11,781,2129995,5331515,6
2,14,428127,14,420,386162,5468470,7
2,15,320205,75,277,1476525,6812625,8
2,20,287000,70,790,589790,4283400,6
2,21,370293,63,504,913500,4064119,6
3,33,709401,88,308,677820,8548309,3
2,17,346188,17,850,1317712,8037370,8
2,14,151508,63,252,909405,6146588,15
2,13,191971,45,91,818610,628290,4
3,40,668773,53,13,1371040,10853960,5
3,35,461860,105,245,2205105,7242375,15
3,34,823446,90,453,744951,11203260,2
2,19,706591,66,570,839923,1963051,10
1,2,84984,12,96,302960,489058,6
2,20,407010,100,80,920030,4291860,14
3,27,605646,72,693,1039968,8087373,14
2,14,396417,28,196,1262296,2693593,12
3,32,420608,85,1013,1408480,10554368,12
2,19,529226,28,342,1844862,3007681,12
1,3,103623,24,120,208614,1908375,5
2,8,274924,36,64,572856,978804,1
1,1,60476,8,48,109547,344604,2
3,27,414261,54,549,925731,7172784,1
2,21,477078,31,1018,1315566,1584544,5
2,14,175840,49,238,1164205,6495006,15
3,35,547306,58,1015,1438780,9588180,5
3,26,221017,43,676,544691,3080211,8
2,24,317052,96,648,608724,10160040,11
2,8,164304,40,368,753316,557736,12
3,33,421817,88,847,1699643,5246461,12
2,16,413184,48,632,1110360,6646952,1
3,32,231338,74,149,1432586,10171850,12
3,27,397557,9,783,458460,6357663,7
2,11,141559,38,258,940967,2259543,6
3,29,247176,67,725,501458,4992688,15
1,5,308600,25,30,320645,3247860,13
3,34,778928,113,306,1031129,8198646,2
3,40,647173,133,440,2045133,4922240,5
3,34,697476,56,544,801108,8275067,2
1,1,47180,8,94,78471,986985,11
2,13,151489,45,487,542808,2104271,13
2,8,149428,16,360,717496,2642124,15
3,32,725098,74,874,1739680,609130,1
3,37,282260,74,888,2077241,8679571,3
3,31,208340,20,289,1540266,5375761,4
3,27,605835,63,549,1445319,2412828,6
3,30,490350,30,450,539440,6973040,11
2,16,587984,40,392,1013320,6317240,12
2,12,364578,42,360,1197270,1268346,7
2,8,105252,20,364,554812,2421948,2
2,13,159146,65,71,1068606,2466035,15
2,17,505775,59,731,1319166,7712339,1
2,23,762795,92,598,2162966,9736256,8
2,15,274837,60,442,416835,1960770,8
2,19,431594,19,104,1680949,6520486,11
3,37,639804,74,900,620477,7958811,10
2,15,502875,7,382,427695,5158245,1
3,28,602476,84,522,1368537,7021532,11
2,8,234036,20,340,353580,3455792,12
3,33,610709,99,1056,1103124,8995756,6
1,5,122665,20,425,564015,2052780,7
1,4,226744,20,268,651232,282408,5
3,25,519591,16,433,1596733,2360541,11
2,12,221292,60,60,734406,4391802,13
3,37,547883,86,875,2067017,10386171,11
2,14,462140,21,602,942970,5823895,10
3,34,268169,11,872,2174776,10595952,2
3,37,386588,74,653,1155510,7258857,9
2,21,765492,105,703,1183213,9900145,15
2,7,94692,14,273,487329,1824280,14
3,32,219840,21,928,1685290,8923210,5
2,17,505240,68,323,1651796,589475,2
3,40,784040,26,133,2367773,13113786,6
2,24,632244,24,588,2286204,9936540,8
2,10,120475,30,45,881600,1864490,15
2,7,222887,35,108,451552,1570852,9
3,28,499053,37,541,930300,6048662,11
2,19,709460,47,703,1837423,5408958,9
2,9,185760,18,256,337392,699165,4
2,12,361758,30,216,508614,2114040,12
3,36,745476,72,372,2318076,5424336,12
2,7,204823,14,171,287175,1164558,11
2,19,503376,47,551,922887,9093039,14
3,26,407948,78,303,1129864,1660230,14
3,33,530387,66,1100,1123947,6536002,9
2,20,634060,100,210,602080,2677450,3
1,1,51751,9,94,189126,690683,11
3,29,652384,96,812,1483988,8230142,10
2,12,317520,36,540,505338,5784222,3
2,12,369564,36,300,1112700,2773608,8
2,8,231252,12,20,487908,1581956,1
2,9,328437,9,229,879273,3600481,6
3,33,721897,22,231,2133197,7631382,3
3,25,601183,83,258,1290516,2043816,3
2,12,167190,48,594,662052,486192,11
3,40,985360,40,1040,1308746,11994760,12
1,6,274020,12,144,651828,3379260,4
3,32,611989,96,362,1769002,8406154,1
2,18,213129,54,342,1527633,6806754,11
2,9,219699,27,346,325764,4498924,7
3,30,379710,50,990,1198180,3569610,4
2,16,259856,40,392,1231600,5104312,3
3,30,281600,100,700,945540,4554840,13
3,30,207010,10,490,652210,7931060,8
3,38,504260,12,228,1560419,9087814,5
3,25,306716,50,425,429541,3524333,6
3,28,599890,56,93,1798664,8108622,9
3,39,330642,13,559,1268852,6877390,8
3,29,303543,29,454,1594449,2137667,8
2,10,200715,35,255,380765,1236485,12
2,19,304237,76,465,1231760,3466312,3
2,11,240927,16,390,942804,2576552,6
2,14,343742,35,399,669361,2481395,5
2,12,325104,54,354,1171062,3274170,4
3,40,822560,66,720,1156813,9099160,13
1,3,92406,12,27,460053,956712,2
3,25,354041,8,825,965491,5425758,9
3,27,314037,54,333,1746180,4980060,1
2,14,399224,42,7,506527,375382,15
1,2,45620,20,124,274238,173420,2
2,12,138390,18,600,441510,1374666,5
2,17,303254,17,586,1231140,7914129,2
2,19,638248,66,9,490048,9259821,4
1,4,291932,20,228,418260,1682924,4
2,19,565962,47,836,1128695,3400990,7
3,35,476933,11,70,978401,804218,6
3,39,832754,117,1170,1590589,12270817,1
3,32,378240,85,714,1081781,6753184,15
2,15,274597,22,742,694177,2719477,13
2,14,212359,21,154,940779,621012,8
3,34,386670,90,68,1522690,9872455,12
1,3,200649,15,117,218493,1153008,15
2,7,164192,10,185,475156,812399,14
2,9,302359,13,373,818775,4491063,12
3,31,404694,41,434,874820,657386,1
1,4,180820,28,268,309780,1708072,8
3,37,286910,12,974,1525954,1316608,11
3,38,932431,38,747,2320495,8256538,8
3,27,673326,9,162,1172385,2609136,1
3,25,434733,8,525,1372716,7500758,2
2,11,260975,16,231,574557,3199339,11
2,24,579732,24,588,1878048,9310116,14
2,18,432045,54,504,815220,4069809,6
2,22,778525,11,968,2174590,7574061,13
2,15,260782,75,750,583860,4347840,5
3,30,421100,70,590,1319200,9316210,7
2,17,468171,25,221,1060570,6856185,13
3,36,374052,120,336,2393124,7588992,7
1,2,148244,20,168,356214,1675020,12
2,14,266658,35,98,520807,3780021,4
2,18,444618,54,675,1333782,7939071,15
2,19,574170,95,807,1490236,869687,11
2,10,208560,25,35,844410,1941645,14
3,33,651893,99,495,2084995,8763238,13
1,5,314575,5,200,797890,901175,9
2,15,436162,7,727,743617,508372,1
2,18,259686,36,27,879597,4493043,6
2,19,496156,28,437,1315322,7826090,5
3,27,287163,81,828,1738260,7745778,4
3,35,353511,81,606,1248158,1138246,7
3,40,566426,53,840,801493,7419986,5
1,2,62812,6,42,311492,1886652,4
2,12,130854,6,384,843252,1013484,13
1,4,151796,24,324,495124,3929804,11
2,12,348198,60,6,999768,3513732,13
2,22,367631,55,88,2109789,10181622,15
3,39,945854,91,1300,919620,759746,12
1,5,252070,45,250,807075,4489530,5
2,15,238192,37,195,530295,1857487,3
2,20,280850,60,210,1043520,4836000,10
3,28,525672,9,560,1678068,4363585,6
2,16,188872,48,264,1557520,558424,15
2,12,399618,30,72,486480,4759962,12
3,36,423600,24,144,2061348,3965436,12
2,17,575280,68,161,1430771,1250707,6
3,26,630968,52,702,1529606,6448884,5
2,20,229770,60,80,1091970,7425080,1
2,17,319489,85,59,1622939,4768899,12
3,32,519968,42,234,868789,8247008,5
2,17,324572,68,76,1011304,3082695,2
2,10,357800,35,385,682560,2521355,3
2,17,492660,85,850,759118,8108056,6
3,32,651957,85,149,1214453,1608768,15
2,19,264081,57,874,881077,6786942,11
3,31,254747,51,351,1986676,3932918,11
3,37,450783,37,246,1511894,12095941,10
3,34,477462,22,906,1211465,9816253,7
3,28,266308,28,214,1311856,5823916,13
3,36,367200,72,36,1161084,1026780,4
2,17,556163,17,782,1107915,6643651,2
3,40,779266,26,133,1750733,12571853,13
2,19,403883,9,475,1670964,1171416,5
1,5,207550,5,190,474470,4011975,4
3,29,412534,58,193,1179236,8471538,5
3,39,918957,13,923,2264756,10843248,11
1,4,250396,36,292,656732,3918236,11
2,7,114352,7,108,584328,1100253,8
3,37,828824,24,1073,1122617,657564,4
3,34,596756,79,963,636525,3842374,10
2,23,515982,11,115,1049858,3168100,8
2,23,516281,46,1000,633776,8194992,3
2,12,361962,60,456,894504,5395968,8
2,17,421617,34,289,824466,1503386,14
2,23,804655,23,483,2026587,5019083,8
2,24,493800,36,288,1470816,8090556,14
3,38,263530,12,114,1074652,11118394,11
3,26,419588,60,147,1134614,4739644,2
2,14,299740,63,14,387387,2806573,11
2,20,266240,60,120,1303560,820940,6
2,16,450296,24,296,743296,7009232,2
2,17,570239,25,306,489829,7668904,3
2,22,744546,88,781,819588,5486877,11
2,7,219677,3,301,180463,2576472,14
3,25,351408,58,758,1130358,6675283,5
1,2,96416,20,8,388784,1954912,2
3,40,692213,13,520,890200,12234826,5
2,24,394176,36,816,1808772,8311332,13
1,2,93466,2,24,325868,1331648,11
2,21,273178,52,105,526018,559503,12
2,24,516420,24,900,1824648,7668144,2
2,13,426257,65,403,1039421,4168404,9
3,34,279763,113,906,1213267,7220568,6
3,32,771541,106,810,725194,1136885,8
3,26,637086,26,407,1679054,2506547,11
3,29,651436,87,183,1813321,5962380,8
2,19,504915,76,845,667023,5770119,10
3,36,543792,24,648,1771332,3998700,2
2,18,323991,72,288,740124,7676127,8
3,30,671100,50,950,1638410,4363110,12
3,37,599745,111,185,1376091,9484987,12
1,6,313824,42,60,612018,2294574,10
1,4,127540,20,196,783724,212796,12
3,26,406267,34,130,1172721,8421010,3
3,36,798828,96,672,911112,1757640,8
1,3,193779,27,78,206361,297117,9
2,9,269478,27,355,623317,1349352,13
3,28,269612,56,849,492604,5889240,10
3,39,856791,39,975,2190526,4442113,12
2,15,450367,75,285,572632,2994247,1
1,2,81372,12,160,183138,401942,4
3,34,290654,34,691,1714416,1029463,9
3,36,481584,108,12,824688,1437876,2
3,36,377616,36,696,1509012,8430660,6
3,36,394800,72,756,1896096,7107852,5
2,12,243816,18,252,782442,3156168,8
3,25,351633,75,41,1231025,944091,14
2,19,646180,76,161,1832597,8104060,12
3,26,490524,34,199,546797,3947346,9
3,28,230122,74,270,1012256,8278657,11
3,30,661750,10,330,1436600,6650880,7
2,12,422916,6,540,581634,431256,11
2,19,220884,95,693,895698,1337818,1
2,9,220743,4,117,843412,3997719,9
3,25,206941,75,566,504175,8100491,3
2,19,374433,9,570,912912,697290,13
3,37,558034,74,579,1412191,9276257,15
2,17,213035,68,144,485307,6797832,13
2,20,536720,60,190,887310,8715990,8
3,27,241029,72,846,1694304,4523751,4
2,18,197874,18,72,1452006,8071083,13
1,3,183480,30,51,471846,932535,12
2,9,209299,13,225,520987,1759459,5
2,18,370953,45,900,1606806,8295696,5
3,25,243083,33,616,895933,7809333,13
3,38,440964,12,886,1379678,10894840,9
3,31,375575,82,651,1209640,9836765,6
3,39,780247,130,741,1084317,1289769,3
2,16,468760,16,360,1476584,1221992,15
